country,year,population
Turkey,2012,74724269.0
United Kingdom,2002,58706905.169
United Kingdom,2003,59262057.0
United Kingdom,2004,59699828.0
United Kingdom,2005,60059858.0
United Kingdom,2006,60412870.0
United Kingdom,2007,60781346.0
United Kingdom,2008,61179260.0
United Kingdom,2009,61595094.0
United Kingdom,2010,62026962.0
United Kingdom,2011,62498612.0
United Kingdom,2012,63256154.0
United States,2002,277244916.0
United States,2003,288774226.0
United States,2004,290810719.0
United States,2005,294442683.0
United States,2006,297308143.0
United States,2007,300184434.0
United States,2008,304846731.0
United States,2009,305127551.0
United States,2010,307756577.0
United States,2011,309989078.0
United States,2012,312232049.0
